Country,Region,Year,Economy,Family,Freedom,Generosity,Happiness_Rank,Happines_Score,Health,Trust
Norway,Western Europe,1/1/2017,1.6,1.53352356,0.635422587,0.315963835,1,7.5,0.796666503,0.362012237
Denmark,Western Europe,1/1/2017,1.5,1.551121593,0.626006722,0.400770068,2,7.5,0.792565525,0.355280489
Iceland,Western Europe,1/1/2017,1.5,1.610574007,0.627162635,0.153526559,3,7.5,0.833552122,0.475540221
Switzerland,Western Europe,1/1/2017,1.6,1.516911745,0.620070577,0.367007285,4,7.5,0.858131289,0.290549278
Finland,Western Europe,1/1/2017,1.4,1.540246725,0.617950857,0.382611543,5,7.5,0.80915767,0.245482773
Netherlands,Western Europe,1/1/2017,1.5,1.428939223,0.585384488,0.282661825,6,7.4,0.810696125,0.47048983
Canada,North America,1/1/2017,1.5,1.481348991,0.611100912,0.287371516,7,7.3,0.834557652,0.435539722
New Zealand,Australia and New Zealand,1/1/2017,1.4,1.548195124,0.61406213,0.382816702,8,7.3,0.816759706,0.500005126
Sweden,Western Europe,1/1/2017,1.5,1.478162169,0.612924099,0.384398729,9,7.3,0.830875158,0.385399252
Australia,Australia and New Zealand,1/1/2017,1.5,1.510041952,0.601607382,0.30118373,10,7.3,0.843886793,0.47769925
Israel,Middle East and Northern Africa,1/1/2017,1.4,1.376289964,0.405988604,0.0852421,11,7.2,0.838404,0.330082655
Costa Rica,Latin America and Caribbean,1/1/2017,1.1,1.416403651,0.58013165,0.100106589,12,7.1,0.759509265,0.214613229
Austria,Western Europe,1/1/2017,1.5,1.459944963,0.56776619,0.221060365,13,7,0.815328419,0.316472322
United States,North America,1/1/2017,1.5,1.419920564,0.505740523,0.135638788,14,7,0.774286628,0.392578781
Ireland,Western Europe,1/1/2017,1.5,1.558231115,0.573110342,0.298388153,15,7,0.809782624,0.427858323
Germany,Western Europe,1/1/2017,1.5,1.472520351,0.562511384,0.276731938,16,7,0.798950732,0.33626917
Belgium,Western Europe,1/1/2017,1.5,1.462312698,0.539770722,0.251343131,17,6.9,0.818091869,0.231503338
Luxembourg,Western Europe,1/1/2017,1.7,1.457583666,0.596627891,0.318834424,18,6.9,0.845089495,0.283180982
United Kingdom,Western Europe,1/1/2017,1.4,1.49646008,0.508190036,0.265428066,19,6.7,0.805335939,0.492774159
Chile,Latin America and Caribbean,1/1/2017,1.3,1.284024954,0.376895279,0.082287982,20,6.7,0.819479704,0.326662421
United Arab Emirates,Middle East and Northern Africa,1/1/2017,1.6,1.266410232,0.60834527,0.324489564,21,6.6,0.726798236,0.360941947
Brazil,Latin America and Caribbean,1/1/2017,1.1,1.431306005,0.437453747,0.111092761,22,6.6,0.616552353,0.162349895
Czech Republic,Central and Eastern Europe,1/1/2017,1.4,1.433885217,0.490946174,0.036872927,23,6.6,0.754444003,0.088106759
Argentina,Latin America and Caribbean,1/1/2017,1.2,1.440451145,0.494519204,0.059739888,24,6.6,0.695137084,0.109457061
Mexico,Latin America and Caribbean,1/1/2017,1.2,1.21086216,0.412730008,0.132774115,25,6.6,0.709978998,0.120990433
Singapore,Southeastern Asia,1/1/2017,1.7,1.353814363,0.549840569,0.464307785,26,6.6,0.949492395,0.345965981
Malta,Western Europe,1/1/2017,1.3,1.488411665,0.588767052,0.153066069,27,6.5,0.821944237,0.574730575
Uruguay,Latin America and Caribbean,1/1/2017,1.2,1.412227869,0.579392254,0.178061873,28,6.5,0.719216824,0.175096929
Guatemala,Latin America and Caribbean,1/1/2017,0.9,1.255585194,0.531310618,0.077223279,29,6.5,0.54023999,0.283488393
Panama,Latin America and Caribbean,1/1/2017,1.2,1.373192549,0.550026834,0.070983924,30,6.5,0.706156135,0.210556939
France,Western Europe,1/1/2017,1.4,1.387776852,0.470222116,0.172502428,31,6.4,0.844465852,0.129762307
Thailand,Southeastern Asia,1/1/2017,1.1,1.425792456,0.580200732,0.031612735,32,6.4,0.647239029,0.57212311
Taiwan Province of China,Eastern Asia,1/1/2017,1.4,1.384565353,0.361466587,0.063829236,33,6.4,0.793984234,0.258360475
Spain,Western Europe,1/1/2017,1.4,1.532090902,0.40878123,0.070914097,34,6.4,0.8889606,0.190133572
Qatar,Middle East and Northern Africa,1/1/2017,1.9,1.27429688,0.604130983,0.439299256,35,6.4,0.710098088,0.33047387
Colombia,Latin America and Caribbean,1/1/2017,1.1,1.402182937,0.477487415,0.046668742,36,6.4,0.595027924,0.149014473
Saudi Arabia,Middle East and Northern Africa,1/1/2017,1.5,1.286677599,0.449750572,0.273432255,37,6.3,0.59014833,0.147616014
Trinidad and Tobago,Latin America and Caribbean,1/1/2017,1.4,1.380228519,0.518630743,0.008964816,38,6.2,0.519983292,0.325296462
Kuwait,Middle East and Northern Africa,1/1/2017,1.6,1.259698749,0.496337593,0.21515955,39,6.1,0.632105708,0.228289798
Slovakia,Central and Eastern Europe,1/1/2017,1.3,1.505059242,0.295817465,0.024210852,40,6.1,0.712732911,0.136544481
Bahrain,Middle East and Northern Africa,1/1/2017,1.5,1.323110461,0.536746919,0.25704217,41,6.1,0.653133035,0.172668487
Malaysia,Southeastern Asia,1/1/2017,1.3,1.284646034,0.402264982,0.065600708,42,6.1,0.618784428,0.41660893
Nicaragua,Latin America and Caribbean,1/1/2017,0.7,1.28721571,0.447551847,0.130687982,43,6.1,0.653095961,0.301674217
Ecuador,Latin America and Caribbean,1/1/2017,1,1.286168814,0.455198199,0.140134647,44,6,0.685636222,0.150112465
El Salvador,Latin America and Caribbean,1/1/2017,0.9,1.182125092,0.43245253,0.08998096,45,6,0.596018553,0.078257985
Poland,Central and Eastern Europe,1/1/2017,1.3,1.44571197,0.520342112,0.059307806,46,6,0.699475348,0.158465967
Uzbekistan,Central and Eastern Europe,1/1/2017,0.8,1.54896915,0.658248663,0.246528223,47,6,0.498272628,0.415983647
Italy,Western Europe,1/1/2017,1.4,1.444923282,0.256450713,0.028028091,48,6,0.853144348,0.172789648
Russia,Central and Eastern Europe,1/1/2017,1.3,1.469282389,0.373783112,0.032962881,49,6,0.547349334,0.052263822
Belize,Latin America and Caribbean,1/1/2017,0.9,1.081417799,0.547509372,0.096581072,50,6,0.450191766,0.240015641
Japan,Eastern Asia,1/1/2017,1.4,1.436337829,0.505625546,0.163760737,51,5.9,0.913475871,0.120572768
Lithuania,Central and Eastern Europe,1/1/2017,1.3,1.473516107,0.234231785,0.011865643,52,5.9,0.62894994,0.010164657
